LON,LAT,ANNUAL
-40.845,-14.862,4348
-40.579,-14.866,4105
-39.656,-14.859,4014
-39.592,-14.858,4006
-39.424,-14.892,4046
-42.658,-14.769,6012
-4.243,-14.843,4956
-40.144,-1.480,4003
-40.090,-14.753,3918
-39.988,-14.845,3853
-39.476,-14.795,3786
-39.278,-1.479,4157
-39.046,-14.794,4721
-42.505,-1.468,5466
-41.680,-14.689,4864
-41.492,-14.663,4847
-41.256,-14.726,4967
-40.475,-1.467,4003
-39.642,-14.709,3595
-39.374,-14.677,3958
-42.944,-14.572,6052
-4.114,-14.614,4880
-39.556,-14.638,3659
-39.285,-14.591,4083
-42.686,-14.493,6075
-42.223,-14.501,5124
-41.938,-14.547,5149
-40.364,-14.524,4057
-43.551,-14.411,5893
-4.287,-14.414,5975
-42.075,-14.410,5235
-41.885,-14.385,5222
-41.465,-14.428,5048
-40.505,-1.437,4205
-40.206,-14.364,4143
-39.904,-14.430,3866
-39.564,-1.442,3887
-43.773,-1.430,6136
-4.377,-14.339,6136
-43.161,-1.427,6065
-42.257,-14.272,5297
-39.844,-14.284,3900
-39.465,-14.325,3987
-39.323,-14.300,3972
-39.323,-14.318,3972
-38.996,-14.279,4894
-44.536,-14.182,6158
-44.280,-14.210,6112
-42.780,-14.224,6065
-41.670,-14.203,5188
-40.773,-14.241,4527
-40.004,-14.164,3906
-39.600,-14.210,3988
-39.518,-14.216,3930
-39.373,-14.162,3858
-42.487,-14.069,5463
-40.240,-14.148,4058
-3.989,-14.127,4002
-39.737,-14.133,3919
-39.641,-14.065,3845
-3.901,-1.410,4293
-42.141,-1.403,5462
-41.248,-14.020,4977
-39.890,-14.017,3912
-42.844,-13.911,6037
-4.009,-13.851,4131
-39.745,-13.856,3662
-39.107,-13.940,4034
-44.457,-13.828,5991
-41.771,-13.762,5562
-41.301,-13.811,4835
-4.104,-13.763,4609
-39.626,-1.381,3775
-39.683,-13.779,3775
-39.377,-13.760,3791
-39.142,-13.821,4110
-40.212,-1.366,3950
-39.479,-13.687,3858
-39.490,-13.747,3858
-39.149,-1.373,4067
-4.448,-13.612,5968
-42.936,-1.361,6004
-41.811,-13.580,5312
-41.840,-13.639,5312
-41.331,-13.627,4654
-39.489,-13.592,3860
-39.106,-13.601,4046
-43.577,-13.542,6130
-42.491,-13.548,6000
-41.592,-1.352,5050
-40.221,-13.467,3870
-40.151,-13.534,3792
-39.964,-13.525,3842
-39.423,-13.454,3738
-39.101,-13.539,4089
-39.047,-13.491,4373
-44.201,-13.386,6098
-44.194,-13.406,6084
-42.525,-13.380,5981
-42.242,-13.445,6054
-42.141,-13.418,5922
-41.284,-13.406,4353
-40.433,-13.436,4016
-39.938,-13.446,3771
