LON,LAT,ANNUAL
-53.149,-31.901,4102
-53.049,-31.901,4091
-52.949,-31.901,4111
-52.849,-31.901,4124
-52.749,-31.901,4127
-52.649,-31.901,4090
-52.549,-31.901,4073
-52.449,-31.901,4095
-52.349,-31.901,4137
-52.249,-31.901,4178
-52.149,-31.901,4233
-52.049,-31.901,4135
-51.949,-31.901,4186
-51.849,-31.901,4112
-51.749,-31.901,4310
-54.349,-31.801,4608
-54.249,-31.801,4598
-54.149,-31.801,4532
-54.049,-31.801,4496
-53.949,-31.801,4466
-53.849,-31.801,4433
-53.749,-31.801,4437
-53.649,-31.801,4452
-53.549,-31.801,4357
-53.449,-31.801,4246
-53.349,-31.801,4175
-53.249,-31.801,4124
-53.149,-31.801,4074
-53.049,-31.801,4084
-52.949,-31.801,4045
-52.849,-31.801,4064
-52.749,-31.801,4082
-52.649,-31.801,4050
-52.549,-31.801,4010
-52.449,-31.801,4002
-52.349,-31.801,4037
-52.249,-31.801,4147
-52.149,-31.801,4266
-52.049,-31.801,4283
-51.949,-31.801,4339
-51.849,-31.801,4384
-51.749,-31.801,4343
-51.649,-31.801,4304
-51.549,-31.801,4371
-54.449,-31.701,4617
-54.349,-31.701,4620
-54.249,-31.701,4601
-54.149,-31.701,4562
-54.049,-31.701,4515
-53.949,-31.701,4483
-53.849,-31.701,4443
-53.749,-31.701,4418
-53.649,-31.701,4422
-53.549,-31.701,4376
-53.449,-31.701,4291
-53.349,-31.701,4217
-53.249,-31.701,4120
-53.149,-31.701,4079
-53.049,-31.701,4067
-52.949,-31.701,4060
-52.849,-31.701,4058
-52.749,-31.701,4026
-52.649,-31.701,3999
-52.549,-31.701,3944
-52.449,-31.701,3935
-52.349,-31.701,3971
-52.249,-31.701,4063
-52.149,-31.701,4168
-52.049,-31.701,4314
-51.949,-31.701,4417
-51.849,-31.701,4505
-51.749,-31.701,4503
-51.649,-31.701,4460
-51.549,-31.701,4351
-51.449,-31.701,4328
-51.349,-31.701,4411
-54.449,-31.601,4629
-54.349,-31.601,4619
-54.249,-31.601,4599
-54.149,-31.601,4574
-54.049,-31.601,4531
-53.949,-31.601,4490
-53.849,-31.601,4433
-53.749,-31.601,4408
-53.649,-31.601,4412
-53.549,-31.601,4394
-53.449,-31.601,4330
-53.349,-31.601,4236
-53.249,-31.601,4161
-53.149,-31.601,4107
-53.049,-31.601,4082
-52.949,-31.601,4062
-52.849,-31.601,4063
-52.749,-31.601,4013
-52.649,-31.601,3965
-52.549,-31.601,3924
-52.449,-31.601,3897
-52.349,-31.601,3941
-52.249,-31.601,4012
-52.149,-31.601,4123
-52.049,-31.601,4260
-51.949,-31.601,4375
-51.849,-31.601,4486
-51.749,-31.601,4525
-51.649,-31.601,4529
-51.549,-31.601,4441
-51.449,-31.601,4331
-51.349,-31.601,4305
-51.249,-31.601,4392
-54.649,-31.501,4669
-54.549,-31.501,4651
-54.449,-31.501,4642
-54.349,-31.501,4628
-54.249,-31.501,4592
-54.149,-31.501,4551
-54.049,-31.501,4530
-53.949,-31.501,4500
-53.849,-31.501,4456
-53.749,-31.501,4435
-53.649,-31.501,4418
-53.549,-31.501,4384
-53.449,-31.501,4323
-53.349,-31.501,4249
-53.249,-31.501,4187
-53.149,-31.501,4148
-53.049,-31.501,4113
-52.949,-31.501,4088
-52.849,-31.501,4074
-52.749,-31.501,4038
-52.649,-31.501,3940
-52.549,-31.501,3899
-52.449,-31.501,3890
-52.349,-31.501,3893
-52.249,-31.501,3957
-52.149,-31.501,4066
-52.049,-31.501,4193
-51.949,-31.501,4312
-51.849,-31.501,4452
-51.749,-31.501,4505
-51.649,-31.501,4528
-51.549,-31.501,4520
-51.449,-31.501,4430
-51.349,-31.501,4428
-51.249,-31.501,4404
-51.149,-31.501,4430
-54.949,-31.401,4717
-54.849,-31.401,4702
-54.749,-31.401,4698
-54.649,-31.401,4701
-54.549,-31.401,4682
-54.449,-31.401,4654
-54.349,-31.401,4625
-54.249,-31.401,4593
-54.149,-31.401,4529
-54.049,-31.401,4498
-53.949,-31.401,4499
-53.849,-31.401,4471
-53.749,-31.401,4446
-53.649,-31.401,4408
-53.549,-31.401,4357
-53.449,-31.401,4284
-53.349,-31.401,4243
-53.249,-31.401,4213
-53.149,-31.401,4177
-53.049,-31.401,4163
-52.949,-31.401,4111
-52.849,-31.401,4111
-52.749,-31.401,4073
-52.649,-31.401,3991
-52.549,-31.401,3941
-52.449,-31.401,3897
-52.349,-31.401,3896
-52.249,-31.401,3905
-52.149,-31.401,3967
-52.049,-31.401,4091
-51.949,-31.401,4204
-51.849,-31.401,4341
-51.749,-31.401,4424
-51.649,-31.401,4477
-51.549,-31.401,4520
-51.449,-31.401,4537
-51.349,-31.401,4550
-51.249,-31.401,4477
-51.149,-31.401,4327
-51.049,-31.401,4310
-55.249,-31.301,4659
-55.149,-31.301,4720
-55.049,-31.301,4739
-54.949,-31.301,4729
-54.849,-31.301,4713
-54.749,-31.301,4696
-54.649,-31.301,4720
-54.549,-31.301,4706
-54.449,-31.301,4666
-54.349,-31.301,4614
-54.249,-31.301,4591
-54.149,-31.301,4523
-54.049,-31.301,4496
-53.949,-31.301,4489
-53.849,-31.301,4471
-53.749,-31.301,4462
-53.649,-31.301,4391
-53.549,-31.301,4348
-53.449,-31.301,4312
-53.349,-31.301,4258
-53.249,-31.301,4200
-53.149,-31.301,4189
-53.049,-31.301,4190
-52.949,-31.301,4167
-52.849,-31.301,4164
-52.749,-31.301,4135
-52.649,-31.301,4072
-52.549,-31.301,3998
-52.449,-31.301,3921
-52.349,-31.301,3881
-52.249,-31.301,3887
-52.149,-31.301,3909
-52.049,-31.301,3983
-51.949,-31.301,4076
-51.849,-31.301,4192
-51.749,-31.301,4303
-51.649,-31.301,4390
-51.549,-31.301,4503
-51.449,-31.301,4530
-51.349,-31.301,4536
-51.249,-31.301,4476
-51.149,-31.301,4318
-51.049,-31.301,4289
-50.949,-31.301,4200
-55.349,-31.201,4669
-55.249,-31.201,4684
-55.149,-31.201,4725
-55.049,-31.201,4741
-54.949,-31.201,4744
-54.849,-31.201,4729
-54.749,-31.201,4693
-54.649,-31.201,4703
-54.549,-31.201,4704
-54.449,-31.201,4676
-54.349,-31.201,4643
-54.249,-31.201,4608
-54.149,-31.201,4556
-54.049,-31.201,4517
-53.949,-31.201,4480
-53.849,-31.201,4444
-53.749,-31.201,4444
-53.649,-31.201,4377
-53.549,-31.201,4336
-53.449,-31.201,4334
-53.349,-31.201,4265
-53.249,-31.201,4202
-53.149,-31.201,4168
-53.049,-31.201,4164
-52.949,-31.201,4203
-52.849,-31.201,4194
-52.749,-31.201,4134
-52.649,-31.201,4108
-52.549,-31.201,4077
-52.449,-31.201,4015
-52.349,-31.201,3953
-52.249,-31.201,3925
-52.149,-31.201,3944
-52.049,-31.201,3968
-51.949,-31.201,4025
-51.849,-31.201,4073
-51.749,-31.201,4147
-51.649,-31.201,4269
-51.549,-31.201,4442
-51.449,-31.201,4510
-51.349,-31.201,4525
-51.249,-31.201,4453
-51.149,-31.201,4294
-51.049,-31.201,4257
-50.949,-31.201,4025
-50.849,-31.201,3946
-56.049,-31.101,4999
-55.949,-31.101,4935
-55.849,-31.101,4853
-55.349,-31.101,4685
-55.249,-31.101,4712
-55.149,-31.101,4728
-55.049,-31.101,4740
-54.949,-31.101,4734
-54.849,-31.101,4734
-54.749,-31.101,4698
-54.649,-31.101,4678
-54.549,-31.101,4692
-54.449,-31.101,4680
-54.349,-31.101,4660
-54.249,-31.101,4620
-54.149,-31.101,4549
-54.049,-31.101,4493
-53.949,-31.101,4446
-53.849,-31.101,4440
-53.749,-31.101,4427
-53.649,-31.101,4380
-53.549,-31.101,4338
-53.449,-31.101,4335
-53.349,-31.101,4312
-53.249,-31.101,4244
-53.149,-31.101,4181
-53.049,-31.101,4160
-52.949,-31.101,4189
-52.849,-31.101,4192
-52.749,-31.101,4117
-52.649,-31.101,4099
-52.549,-31.101,4102
-52.449,-31.101,4055
-52.349,-31.101,4009
-52.249,-31.101,3988
-52.149,-31.101,3982
-52.049,-31.101,3973
-51.949,-31.101,4012
-51.849,-31.101,4023
-51.749,-31.101,4106
-51.649,-31.101,4189
-51.549,-31.101,4316
-51.449,-31.101,4442
-51.349,-31.101,4515
-51.249,-31.101,4490
-51.149,-31.101,4378
-51.049,-31.101,4328
-50.949,-31.101,4159
-50.849,-31.101,4012
-50.749,-31.101,3899
-56.049,-31.001,4998
-55.949,-31.001,4956
-55.849,-31.001,4921
-55.749,-31.001,4820
-55.649,-31.001,4742
-55.449,-31.001,4686
-55.349,-31.001,4699
-55.249,-31.001,4717
-55.149,-31.001,4723
-55.049,-31.001,4757
-54.949,-31.001,4729
-54.849,-31.001,4726
-54.749,-31.001,4705
-54.649,-31.001,4686
-54.549,-31.001,4691
-54.449,-31.001,4679
-54.349,-31.001,4694
-54.249,-31.001,4660
-54.149,-31.001,4580
-54.049,-31.001,4489
-53.949,-31.001,4430
-53.849,-31.001,4420
-53.749,-31.001,4411
-53.649,-31.001,4378
-53.549,-31.001,4356
-53.449,-31.001,4337
-53.349,-31.001,4345
-53.249,-31.001,4294
-53.149,-31.001,4198
-53.049,-31.001,4166
-52.949,-31.001,4160
-52.849,-31.001,4167
-52.749,-31.001,4125
-52.649,-31.001,4077
-52.549,-31.001,4066
-52.449,-31.001,4069
-52.349,-31.001,4019
-52.249,-31.001,4007
-52.149,-31.001,4009
-52.049,-31.001,4001
-51.949,-31.001,4013
-51.849,-31.001,4014
-51.749,-31.001,4066
-51.649,-31.001,4129
-51.549,-31.001,4248
-51.449,-31.001,4400
-51.349,-31.001,4493
-51.249,-31.001,4547
-51.149,-31.001,4536
-51.049,-31.001,4465
-50.949,-31.001,4294
-50.849,-31.001,4201
-50.749,-31.001,4031
-50.649,-31.001,4106
-56.049,-30.901,4979
-55.949,-30.901,4944
-55.849,-30.901,4950
-55.749,-30.901,4887
-55.649,-30.901,4793
-55.549,-30.901,4703
-55.449,-30.901,4692
-55.349,-30.901,4695
-55.249,-30.901,4717
-55.149,-30.901,4740
-55.049,-30.901,4744
-54.949,-30.901,4733
-54.849,-30.901,4744
-54.749,-30.901,4722
-54.649,-30.901,4715
-54.549,-30.901,4718
-54.449,-30.901,4688
-54.349,-30.901,4711
-54.249,-30.901,4669
-54.149,-30.901,4594
-54.049,-30.901,4514
-53.949,-30.901,4444
-53.849,-30.901,4377
-53.749,-30.901,4378
-53.649,-30.901,4388
-53.549,-30.901,4351
-53.449,-30.901,4328
-53.349,-30.901,4336
-53.249,-30.901,4323
-53.149,-30.901,4258
-53.049,-30.901,4199
-52.949,-30.901,4167
-52.849,-30.901,4153
-52.749,-30.901,4142
-52.649,-30.901,4069
-52.549,-30.901,4023
-52.449,-30.901,4046
-52.349,-30.901,4013
-52.249,-30.901,4007
-52.149,-30.901,3996
-52.049,-30.901,3980
-51.949,-30.901,3972
-51.849,-30.901,3955
-51.749,-30.901,3998
-51.649,-30.901,4050
-51.549,-30.901,4163
-51.449,-30.901,4329
-51.349,-30.901,4447
-51.249,-30.901,4538
-51.149,-30.901,4559
-51.049,-30.901,4534
-50.949,-30.901,4406
-50.849,-30.901,4327
-50.749,-30.901,4255
-50.649,-30.901,3984
-50.549,-30.901,4200
-56.049,-30.801,4979
-55.949,-30.801,4968
-55.849,-30.801,4963
-55.749,-30.801,4921
-55.649,-30.801,4851
-55.549,-30.801,4761
-55.449,-30.801,4720
-55.349,-30.801,4703
-55.249,-30.801,4706
-55.149,-30.801,4717
-55.049,-30.801,4716
-54.949,-30.801,4742
-54.849,-30.801,4750
-54.749,-30.801,4720
-54.649,-30.801,4717
-54.549,-30.801,4741
-54.449,-30.801,4714
-54.349,-30.801,4709
-54.249,-30.801,4670
-54.149,-30.801,4623
-54.049,-30.801,4557
-53.949,-30.801,4493
-53.849,-30.801,4421
-53.749,-30.801,4406
-53.649,-30.801,4408
-53.549,-30.801,4379
-53.449,-30.801,4348
-53.349,-30.801,4365
-53.249,-30.801,4363
-53.149,-30.801,4368
-53.049,-30.801,4286
-52.949,-30.801,4217
-52.849,-30.801,4187
-52.749,-30.801,4178
-52.649,-30.801,4122
-52.549,-30.801,4070
-52.449,-30.801,4029
-52.349,-30.801,4012
-52.249,-30.801,3994
-52.149,-30.801,3965
-52.049,-30.801,3944
-51.949,-30.801,3934
-51.849,-30.801,3900
-51.749,-30.801,3907
-51.649,-30.801,3990
-51.549,-30.801,4082
-51.449,-30.801,4220
-51.349,-30.801,4370
-51.249,-30.801,4500
-51.149,-30.801,4557
-51.049,-30.801,4565
-50.949,-30.801,4552
-50.849,-30.801,4495
-50.749,-30.801,4412
-50.649,-30.801,4193
-50.549,-30.801,4061
-56.149,-30.701,5011
-56.049,-30.701,5002
-55.949,-30.701,4994
-55.849,-30.701,4991
-55.749,-30.701,4909
-55.649,-30.701,4855
-55.549,-30.701,4811
-55.449,-30.701,4742
-55.349,-30.701,4701
-55.249,-30.701,4687
-55.149,-30.701,4708
-55.049,-30.701,4711
-54.949,-30.701,4737
-54.849,-30.701,4740
-54.749,-30.701,4718
-54.649,-30.701,4719
-54.549,-30.701,4726
-54.449,-30.701,4702
-54.349,-30.701,4690
-54.249,-30.701,4693
-54.149,-30.701,4682
-54.049,-30.701,4618
-53.949,-30.701,4570
-53.849,-30.701,4474
-53.749,-30.701,4443
-53.649,-30.701,4426
-53.549,-30.701,4399
-53.449,-30.701,4366
-53.349,-30.701,4370
-53.249,-30.701,4393
-53.149,-30.701,4416
-53.049,-30.701,4370
-52.949,-30.701,4278
-52.849,-30.701,4268
-52.749,-30.701,4227
-52.649,-30.701,4181
-52.549,-30.701,4141
-52.449,-30.701,4087
-52.349,-30.701,4028
-52.249,-30.701,4024
-52.149,-30.701,3980
-52.049,-30.701,3930
-51.949,-30.701,3909
-51.849,-30.701,3828
-51.749,-30.701,3821
-51.649,-30.701,3896
-51.549,-30.701,3992
-51.449,-30.701,4154
-51.349,-30.701,4298
-51.249,-30.701,4449
-51.149,-30.701,4524
-51.049,-30.701,4541
-50.949,-30.701,4549
-50.849,-30.701,4532
-50.749,-30.701,4472
-50.649,-30.701,4308
-50.549,-30.701,4167
-50.449,-30.701,3939
-56.249,-30.601,5024
-56.149,-30.601,5005
-56.049,-30.601,5001
-55.949,-30.601,4986
-55.849,-30.601,4949
-55.749,-30.601,4882
-55.649,-30.601,4883
-55.549,-30.601,4837
-55.449,-30.601,4786
